cats,Freq,CategoryPolly,Notes
ORNAMENTAL C,1,omit,
ORNAMENTAL FOUNTAIN,4,omit,
ORNAMENTAL GARDEN,2,omit,
ORNAMENTAL POND,5,omit,
ORPHANAGE,10,HOUSING,also PUB/INST
ORTHOPAEDIC HOSPITAL,1,PUBINST,
OUTBUILDING,49,GAR,could be AGR also
OUTPATIENTS DEPARTMENT,1,PUBINST,
PAGODA,1,omit,
PAINT FACTORY,1,MAN,
PALACE,5,HOUSING,need to check as could be cinema or bishops palace also!
PALM HOUSE,2,GAR,
PARISH BOUNDARY,14,omit,
PARISH CHURCH,143,ECC,
PARISH HALL,10,PUBINST,
PARISH SCHOOL,6,EDU,
PARK,6,omit,
PARK SHELTER,2,omit,
PARK WALL,1,omit,
PARLIAMENT HOUSE,1,PUBINST,
PATH,1,omit,
PATHOLOGY DEPARTMENT,1,PUBINST,
PATIO,1,omit,
PATTERN SHOP,3,MAN,
PAVEMENT,8,omit,
PAVILION,24,GAR,
PAWNSHOP,2,COM,
PEDESTRIAN TUNNEL,10,omit,
PENGUIN POOL,1,omit,
PENTECOSTALIST CHURCH,1,ECC,
PERGOLA,10,omit,
PETROL STATION,3,TRANS,
PETTY SESSIONS COURT,1,PUBINST,
PHARMACY,2,COM,
PHOTOGRAPHIC STUDIO,4,MAN,
PHYSIOTHERAPY DEPARTMENT,1,PUBINST,
PIANO FACTORY,1,MAN,
PIE AND MASH SHOP,4,COM,
PIER,1,ENT,
PIGGERY,1,AGR,
PIGSTY,1,AGR,
PILLAR BOX,33,omit,
PILLBOX,1,omit,
PLANETARIUM,1,PUBINST,also ENT
PLAQUE,324,omit,
PLASTICS FACTORY,1,MAN,
PLATFORM,5,omit,
PLATING WORKS,1,MAN,
PLAYGROUND SHELTER,2,omit,
POLICE BOX,9,omit,
POLICE HOUSE,4,PUBINST,could be HOUSING too
POLICE STATION,42,PUBINST,
POLICE TELEPHONE PILLAR,4,omit,
POLITICAL CLUB,3,PUBINST,
POLYTECHNIC,5,EDU,
POND,5,omit,
POOL,7,omit,
PORT AUTHORITY OFFICE,2,TRANS,
PORTAL,1,omit,
PORTERS LODGE,15,unknown,depends what type of building
PORTERS REST,1,unknown,
POST BOX,2,omit,
POST MILL,2,MAN,
POST OFFICE,13,COM,
POSTERN,1,omit,
POTTERY KILN,1,omit,
POTTERY WORKS,2,MAN,
POTTERY WORKSHOP,1,MAN,
POUND,2,ZOO,
POWER HOUSE,1,IND,
POWER STATION,5,IND,
PRECINCT,1,omit,could be ECC
PRECINCT WALL,4,omit,
PREFABRICATED BUILDING,5,HOUSING,possibly
PREFABRICATED HOUSE,7,HOUSING,
PREPARATORY SCHOOL,5,EDU,
PRESBYTERIAN CHAPEL,12,ECC,
PRESBYTERIAN CHURCH OF WALES CHAPEL,2,ECC,
PRIESTS HOUSE,30,HOUSING,also ECC
PRIMARY SCHOOL,5,EDU,
PRIMATE HOUSE,1,ZOO,
PRIMITIVE METHODIST CHAPEL,1,ECC,
PRINT SHOP,3,MAN,
PRINTING SHOP,3,MAN,
PRINTING WORKS,11,MAN,
PRIORY,10,ECC,
PRISON,7,PUBINST,
PRISON CHAPEL,1,ECC,also PUB/INST
Prison Chaplains House,1,HOUSING,
PRISON GOVERNORS HOUSE,3,HOUSING,
PRIVATE CHAPEL,13,ECC,
PRIVATE SCHOOL,1,EDU,
PRIVY HOUSE,2,omit,
PROFESSIONAL INSTITUTE,10,PUBINST,
PSYCHIATRIC HOSPITAL,12,PUBINST,
PUBLIC BUILDING,1,PUBINST,
PUBLIC CONVENIENCE,14,PUBINST,
PUBLIC HALL,12,PUBINST,
PUBLIC HOUSE,538,PUBINST,
PUBLIC LIBRARY,90,PUBINST,
PUBLIC PARK,1,omit,
PUBLIC SCHOOL,3,EDU,
PUBLIC WASH HOUSE,4,PUBINST,
PUBLISHING HOUSE,1,COM,
PUMP,13,omit,
PUMP HOUSE,7,IND,
PUMPING STATION,16,IND,
QUAY,3,omit,
RABBIT WARREN,4,omit,
RACQUETS COURT,1,SPORT,or Omit if no buildings
RADIO BROADCASTING STUDIO,1,COMM,
RADIOGRAPHY DEPARTMENT,1,PUBINST,
RAGGED SCHOOL,1,EDU,
RAILINGS,3604,omit,
RAILWAY,2,omit,
RAILWAY BRIDGE,14,omit,
RAILWAY CUTTING,1,omit,
RAILWAY ENGINEERING WORKS,1,TRANS,or IND
RAILWAY HOTEL,8,ENT,
RAILWAY LOOKOUT TOWER,1,omit,
RAILWAY OFFICE,6,TRANS,
RAILWAY PLATFORM,24,omit,
RAILWAY SIGNAL,1,omit,
RAILWAY STABLE,2,TRANS,
RAILWAY STATION,42,TRANS,
RAILWAY STOREHOUSE,2,TRANS,
RAILWAY TUNNEL,3,omit,
RAILWAY TUNNEL PORTAL,3,omit,
RAILWAY TURNTABLE,2,omit,
RAILWAY VENTILATION SHAFT,3,omit,
RAILWAY VIADUCT,9,omit,
RAILWAY WAREHOUSE,2,TRANS,
RAINWATER HEAD,52,omit,
RAISED PAVEMENT,1,omit,
RAMP,9,omit,
READING ROOM,8,PUBINST,
REAL TENNIS COURT,2,SPORT,
RECEIVING BLOCK,1,omit,
RECORD OFFICE,2,PUBINST,
RECORDING STUDIO,5,MAN,
RECREATION CENTRE,3,SPORT,also PUB/INST
RECREATION GROUND,2,omit,
RECREATIONAL HALL,4,PUBINST,
REFECTORY,4,unknown,usually attached to school or religious building
REFERENCE LIBRARY,3,PUBINST,
REFRESHMENT PAVILION,1,GAR,
REFRESHMENT ROOMS,6,COM,
REFUSE DEPOT,2,IND,
REFUSE TRANSFER DEPOT,1,IND,
REGISTER OFFICE,6,PUBINST,
REHABILITATION CENTRE,1,PUBINST,
RELIGIOUS EDUCATION CENTRE,1,EDU,
RELIGIOUS HOUSE,3,ECC,
RESEARCH INSTITUTE,3,EDU,also PUB/INST
RESEARCH STATION,1,EDU,also PUB/INST
RESERVOIR,3,omit,
RESIDENTIAL BUILDING,1,HOUSING,
RESTAURANT,83,COM,
RETAINING WALL,5,omit,
RETORT HOUSE,1,IND,
REVETMENT,36,omit,
RIDING SCHOOL,3,SPORT,
RIVER LOCK,1,omit,
ROAD,5,omit,
ROAD BRIDGE,32,omit,
ROAD SIGN,2,omit,
ROAD TRANSPORT DEPOT,1,TRANS,
ROAD TUNNEL PORTAL,1,omit,
ROAD VIADUCT,1,omit,
ROCK GARDEN,1,omit,
ROMAN CATHOLIC CATHEDRAL,3,ECC,
ROMAN CATHOLIC CHAPEL,7,ECC,
ROMAN CATHOLIC CHURCH,70,ECC,
ROMAN CATHOLIC NUNNERY,1,ECC,
ROOF GARDEN,3,omit,
ROTUNDA,2,GAR,
ROVING BRIDGE,1,PUBINST,
ROW,107,HOUSING,imagine means this
ROW HOUSE,105,HOUSING,
ROWING CLUB,1,SPORT,
ROYAL CHAPEL,8,ECC,but will be inside palace probably
ROYAL PALACE,16,HOUSING,
ROYAL PARK,1,omit,
RUBBING STONE,1,omit,
RUSSIAN ORTHODOX CHURCH,2,ECC,
SAIL LOFT,1,omit,
SAILING CLUB,1,SPORT,
SAILMAKING WORKS,1,MAN,
SALVATION ARMY HALL,2,PUBINST,
SANATORIUM,2,PUBINST,
SARCOPHAGUS,39,omit,
SAW MILL,1,MAN,
SAW PIT,1,omit,
SCHOOL,175,EDU,
SCHOOL BOARDING HOUSE,1,EDU,could possible be under HOUSING too but wouldn't bother
SCHOOL CLINIC,1,EDU,
SCHOOL HALL,8,EDU,
SCHOOL HOUSE,15,EDU,
SCHOOLROOM,7,EDU,
SCIENTIFIC INSTITUTE,2,PUBINST,
SCOREBOARD,1,omit,
SCOTTISH PRESBYTERIAN CHAPEL,1,ECC,
SCOUT HUT,3,PUBINST,
SCULPTURE,86,omit,
SCULPTURE GARDEN,1,omit,
SEAMENS CHURCH,2,ECC,
SEAMENS HOSPITAL,1,PUBINST,
SEAMENS MISSION,2,PUBINST,
SEAPLANE SHED (TYPE G),1,TRANS,
SEAT,10,omit,
SECONDARY MODERN SCHOOL,1,EDU,
SECONDARY SCHOOL,15,EDU,
SEMI DETACHED HOUSE,523,HOUSING,
SENTRY BOX,1,omit,
SERGEANTS MESS,3,MIL,
SERPENTINE WALL,2,omit,
SERVANTS HALL,1,HOUSING,probably within palace so include as HOUSING
SERVICE STATION,1,TRANS,
SERVICE WING,41,PUBINST,"could be housing, depends what attached to"
Servicemens Club,1,PUBINST,
SERVICES CLUB,2,PUBINST,
SERVICES HOME,1,PUBINST,
SETTLING TANK,1,omit,
SEVENTH DAY ADVENTISTS CHAPEL,1,ECC,
SEWAGE PUMPING STATION,3,IND,
SEWER,2,omit,
SEWER VENTILATION PIPE,5,omit,
SHED,11,omit,
SHELL GROTTO,1,omit,
SHELTER,21,omit,
SHELTER SHED,3,omit,
SHELTERED ACCOMMODATION,1,HOUSING,
SHIP CHANDLERY,1,COM,
SHOP,1700,COM,
SHOPPING ARCADE,13,COM,
SHOPPING PARADE,17,COM,
SHOPPING PRECINCT,2,COM,
SHOWROOM,37,COM,
SHRINE,1,omit,
SIGNAL BOX,3,omit,
SILK MILL,1,MAN,
SILO,1,omit,
SKATEPARK,1,omit,
SKATING RINK,1,SPORT,also ENT
SLIPPER BATHS,5,omit,
SLIPWAY,5,omit,
SLUICE,5,omit,
SLUICE GATE,3,omit,
SMELT MILL,1,IND,
SMOCK MILL,1,MAN,
SMOKE HOUSE,1,MAN,
SMUGGLERS CACHE,1,omit,?
SNOOKER HALL,2,SPORT,also ENT
SNUFF MILL,2,MAN,
SOCIAL CLUB,5,PUBINST,
SOLARIUM,1,HOUSING,probably part of big house
SORTING OFFICE,4,COM,postal services could also come under PUB
SOUP KITCHEN,2,PUBINST,
SPA,3,ENT,
SPECIAL SCHOOL,11,EDU,
SPHINX,4,omit,
SPORTS CENTRE,6,SPORT,
SPORTS PAVILION,7,SPORT,
SQUARE,63,unknown,could include HOUSING
SQUASH COURT,1,SPORT,probably part of Hampton Court Palace or other?
STABLE,187,ZOO,
STADDLE STONE,1,omit,
STADIUM,2,SPORT,
STAINED GLASS WORKSHOP,3,MAN,
STATION MASTERS HOUSE,3,HOUSING,also TRANS
STATION SIGN,2,omit,
STATUE,219,omit,
STEAM ENGINE,3,omit,
STEAM ENGINE HOUSE,3,TRANS,also IND
STEAM MILL,1,MAN,also IND
STEPPED TERRACE,5,omit,
STEPS,1144,omit,
STEWARDS HOUSE,1,HOUSING,
STILL HOUSE,1,unknown,
STOCKS,1,omit,
STONE BLOCK,1,omit,
STONEMASONS YARD,3,omit,omit if no buildings otherwise MAN
STOREHOUSE,52,COM,
STREET FURNITURE,1,omit,
STREET LAMP,62,omit,
STRUCTURE,13,unknown,
STUD FARM,2,ZOO,
STUDENTS UNION,1,EDU,also PUB/INST
STUDIO HOUSE,38,HOUSING,
SUBWAY,3,omit,
SUGAR HOUSE,1,MAN,?
SUGAR REFINERY,1,MAN,
SUMMERHOUSE,20,GAR,
SUNDAY SCHOOL,17,EDU,also ECC
SUNDIAL,16,omit,
SURGERY,9,PUBINST,
SUSPENSION BRIDGE,9,omit,
SWEDENBORGIAN CHAPEL,2,ECC,
SWIMMING POOL,17,SPORT,
SWING BRIDGE,6,omit,
SYNAGOGUE,17,ECC,
TABLE TOMB,52,omit,
TACK ROOM,4,ZOO,
TANNERY,1,MAN,
TEA ROOM,7,COM,
TEA WAREHOUSE,4,COM,
TEACHER TRAINING COLLEGE,2,EDU,
TEACHERS HOUSE,19,HOUSING,check
TEACHING HOSPITAL,1,PUBINST,also EDU
TECHNICAL COLLEGE,8,EDU,
TECHNICAL SCHOOL,4,EDU,
TECHNOLOGY INSTITUTE,5,PUBINST,
TELEGRAPH OFFICE,2,COMM,
TELEPHONE BOX,353,omit,
TELEPHONE EXCHANGE,3,COMM,
TELEVISION STUDIO,4,COMM,
TEMPERANCE HALL,2,PUBINST,
TEMPERANCE PUBLIC HOUSE,2,PUBINST,also ENT
TEMPERATE HOUSE,1,PUBINST,
TEMPLARS CHURCH,1,ECC,
TEMPLE,12,ECC,also PUB/INST as Temple Law Courts
TENANTS HALL,1,HOUSING,
TENEMENT BLOCK,6,HOUSING,
TENEMENT HOUSE,2,HOUSING,
TERRACE,2027,HOUSING,
TERRACED GARDEN,3,omit,
TERRACED HOUSE,3852,HOUSING,
TERRACED LAWN,1,omit,
TERRACED WALK,4,HOUSING,possibly housing
TEXTILE MILL,1,MAN,
THEATRE,78,ENT,
Theatre Workshop,1,MAN,also ENT
THEOLOGICAL COLLEGE,4,ECC,
THRESHING BARN,2,AGR,
TIDE MILL,2,MAN,
TILTYARD TOWER,1,SPORT,
TIMBER FRAMED BARN,40,AGR,
TIMBER FRAMED BUILDING,127,HOUSING,and AGR?
TIMBER FRAMED HOUSE,296,HOUSING,
TIMBER SEASONING SHED,1,omit,
TIMBER YARD,1,omit,unless buildings then MAN
TITHE BARN,3,AGR,
TOBACCO WAREHOUSE,2,COM,
TOILET,6,PUBINST,or omit
TOLL HOUSE,7,TRANS,
TOLLBOOTH,1,ENT,
TOMB,225,omit,
Tomb Chest,1,omit,
TOMBSTONE,15,omit,
TOWER,25,unknown,depends what attached to.  Possible omit
TOWER BLOCK,4,HOUSING,
TOWER HOUSE,1,HOUSING,
TOWER MILL,3,MAN,
TOWING PATH BRIDGE,1,omit,
TOWN,2,omit,
TOWN GATE,1,omit,
TOWN HALL,57,PUBINST,
TOWN HOUSE,579,HOUSING,
TOWN WALL,2,omit,
TRADE SCHOOL,2,EDU,
TRADES UNION BUILDING,2,PUBINST,
TRAIN SHED,13,TRANS,
TRAINING CENTRE,11,EDU,
TRAINING COLLEGE,16,EDU,
TRAINING SCHOOL,1,EDU,
TRAINING STRUCTURE,1,EDU,
TRAM DEPOT,3,TRANS,
TRAM TRANSFORMER STATION,3,TRANS,
TRAMWAY TUNNEL,1,omit,
TRAMWAY TUNNEL PORTAL,1,omit,
TRANSFORMER STATION,2,IND,
TRANSMITTER SITE,1,IND,or COMM
TRANSPORT OFFICE,1,TRANS,
TRAVELLING CRANE,1,omit,
TREASURERS HOUSE,2,HOUSING,
TREASURY,2,unknown,depends what attached to
TRIUMPHAL ARCH,5,omit,
TROUGH,17,omit,
TUNNEL,11,omit,
TUNNEL PORTAL,2,omit,
TURBINE HOUSE,1,IND,
TURKISH BATHS,6,ENT,
TURNING SHOP,1,MAN,
TURNSTILE,1,omit,
TURRET,1,omit,would be part of casetle probably
UNDERCROFT,5,omit,
UNDERGROUND CAR PARK,6,omit,
UNDERGROUND MILITARY HEADQUARTERS,4,omit,?
UNDERGROUND RAILWAY,1,omit,
UNDERGROUND RAILWAY STATION,68,TRANS,
UNDERGROUND RAILWAY TUNNEL,1,omit,
UNDERGROUND STRUCTURE,3,omit,
UNDERSHOT WHEEL,3,omit,
UNITARIAN CHAPEL,4,ECC,
UNITED METHODIST FREE CHAPEL,3,ECC,
UNITED REFORMED CHURCH,20,ECC,
UNIVERSITY,7,EDU,
UNIVERSITY ADMINISTRATION OFFICE,3,EDU,also PUB/INST
UNIVERSITY COLLEGE,11,EDU,
UPHOLSTERY WORKS,2,MAN,
URN,29,omit,
VALVE HOUSE,2,IND,
VASE,5,omit,
VAT HALL,1,unknown,
VAULT,10,omit,
VEHICLE DEPOT,1,TRANS,
VENTILATION SHAFT,11,omit,
VESTRY,14,ECC,
VIADUCT,6,omit,
VICARAGE,115,HOUSING,also ECC
VILLA,427,HOUSING,
VILLAGE HALL,5,PUBINST,
VINEGAR BREWERY,9,MAN,
WAGON SHED,1,TRANS,
WAITING ROOM,8,TRANS,
WALK,6,omit,
WALL,586,omit,
WALL CRANE,2,omit,
WALL MONUMENT,6,omit,
WALL PAINTING,6,omit,
WALLED GARDEN,11,omit,
WALLPAPER FACTORY,1,MAN,
WAR MEMORIAL,7,omit,
WAR MEMORIAL (FREESTANDING),145,omit,
WAR MEMORIAL TRIBUTE,11,omit,
WAR ROOM,1,PUBINST,
WARD BLOCK,1,PUBINST,
WAREHOUSE,177,COM,
WASH HOUSE,7,PUBINST,? Depends
WATCH HOUSE,11,unknown,Depends
WATCH TOWER,1,MIL,
WATCHMAKERS WORKSHOP,1,MAN,
WATCHMANS BOX,1,omit,
WATER CHANNEL,1,omit,
WATER GARDEN,1,omit,
WATER GATE,3,omit,
WATER LILY HOUSE,1,GAR,
WATER PAVILION,1,GAR,
WATER PIPE,1,omit,
WATER POINT,1,omit,
WATER PUMP,12,omit,
WATER PUMPING STATION,9,IND,
WATER STORAGE SITE,1,IND,
WATER TANK,4,omit,
WATER TOWER,21,IND,
WATER TURBINE,1,IND,
WATER WHEEL,2,omit,
WATERMILL,2,IND,
WATERWORKS,10,PUBINST,also IND
WAX FACTORY,2,MAN,
WEALDEN HOUSE,5,HOUSING,
WEATHER VANE,42,omit,
WEAVERS COTTAGE,2,HOUSING,
WEAVERS WORKSHOP,1,HOUSING,
WEIR,2,omit,
WELFARE CENTRE,1,PUBINST,
WELL,8,omit,
WELL COVER,1,omit,
WELL HEAD,5,omit,
WELL HOUSE,4,omit,probably just small shed for well
WESLEYAN METHODIST CHAPEL,2,ECC,
WHARF,8,omit,unless buildings
WHARFINGERS COTTAGE,1,HOUSING,
WHEEL HOUSE,1,MAN,Pottery?
WHIPPING POST,1,omit,
WHOLESALE SHOP,1,COM,
WIGMAKERS SHOP,1,COM,
WIND PUMP,2,omit,
WINDER HOUSE,1,IND,
WINDMILL,5,MAN,
WINE BAR,4,COM,
WINE CELLAR,2,omit,
WINTER GARDEN,3,omit,
WIRE MILL,1,MAN,
WOMENS HOSPITAL,1,PUBINST,
WOOD SHED,1,AGR,?
WOOL WAREHOUSE,3,COM,
WORKERS COTTAGE,21,HOUSING,
WORKERS HOSTEL,1,HOUSING,
WORKHOUSE,16,HOUSING,
WORKING MENS CLUB,3,PUBINST,
WORKING MENS COLLEGE,1,EDU,
WORKING MENS INSTITUTE,1,PUBINST,
WORKS,5,MAN,
WORKSHOP,69,MAN,
YARD,12,omit,
YOUTH CLUB,6,PUBINST,
YOUTH HOSTEL,3,PUBINST,
ZEBRA CROSSING,1,omit,
ZOO,5,ZOO,
